time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
2.33625000000000007e-09,-1.07574877466299114e-07,1.08973879363594760e-07,3.55983769397598571e-01,1.24199839484972130e-03,1.24355286130205115e-03,1.15032683858430911e-03,-5.77743489552992859e-07,5.23047193920316858e-07,1.37060097775271972e+00,9.28974111945362864e-04,9.32165785491681021e-04,1.08336463251738273e-03,3.55977300977973643e-01
2.33999999999999978e-09,-1.07957928697877774e-07,1.09320075094776247e-07,3.56892211571553930e-01,1.24256851332535043e-03,1.24412614476625467e-03,1.15055356011100241e-03,-5.79163736508961193e-07,5.24056033277654282e-07,1.37280099535561795e+00,9.29824726001680750e-04,9.33019095248872042e-04,1.08466791477906553e-03,3.56885733025449126e-01
2.34374999999999989e-09,-1.08341528835500978e-07,1.09666529672357823e-07,3.57801158585878243e-01,1.24313859707733199e-03,1.24469939112612079e-03,1.15077984783778413e-03,-5.80583907540114224e-07,5.25064740603375721e-07,1.37500101305597111e+00,9.30673811545149033e-04,9.33870868331982329e-04,1.08596986621710997e-03,3.57794669946655708e-01
2.34750000000000001e-09,-1.08725676251335937e-07,1.10013243538234886e-07,3.58710608857747859e-01,1.24370864491313141e-03,1.24527259918542649e-03,1.15100570232847714e-03,-5.82003990682321003e-07,5.26073320666809030e-07,1.37720103085366996e+00,9.31521371865018421e-04,9.34721108039963488e-04,1.08727048827409823e-03,3.58704110158792555e-01
2.35125000000000013e-09,-1.09110368535406416e-07,1.10360220737647901e-07,3.59620560810062828e-01,1.24427865564557703e-03,1.24584576775160750e-03,1.15123112411581285e-03,-5.83423981226643207e-07,5.27081788316335048e-07,1.37940104874860081e+00,9.32367410233384724e-04,9.35569817658845281e-04,1.08856978236968375e-03,3.59614052084802405e-01
2.35499999999999983e-09,-1.09495604544934103e-07,1.10707465340984898e-07,3.60531012871446510e-01,1.24484862809493371e-03,1.24641889563953758e-03,1.15145611373532967e-03,-5.84843882057629833e-07,5.28090172485122875e-07,1.38160106674067262e+00,9.33211929907680352e-04,9.36417000479882996e-04,1.08986774988207268e-03,3.60524494153348862e-01
2.35874999999999995e-09,-1.09881380523980727e-07,1.11054978563455247e-07,3.61441963476225370e-01,1.24541856108923875e-03,1.24699198167411724e-03,1.15168067175899606e-03,-5.86263678925409499e-07,5.29098479774944760e-07,1.38380108482975794e+00,9.34054934149142614e-04,9.37262659791005914e-04,1.09116439223166462e-03,3.61435434798779487e-01
2.36250000000000006e-09,-1.10267698443774916e-07,1.11402754348243980e-07,3.62353411064412434e-01,1.24598845346213564e-03,1.24756502468233404e-03,1.15190479875799750e-03,-5.87683409204075817e-07,5.30106732790416501e-07,1.38600110301577129e+00,9.34896426183219305e-04,9.38106798891279701e-04,1.09245971078584039e-03,3.62346872461135894e-01
2.36625000000000018e-09,-1.10654558142031297e-07,1.11750787536155578e-07,3.63265354081662606e-01,1.24655830405515414e-03,1.24813802349849176e-03,1.15212849531041040e-03,-5.89103081425517437e-07,5.31114936836446578e-07,1.38820112129858497e+00,9.35736409259086202e-04,9.38949421055128275e-04,1.09375370694577150e-03,3.63258805586097577e-01
2.36999999999999988e-09,-1.11041953750846544e-07,1.12099082054366819e-07,3.64177790979272276e-01,1.24712811170762223e-03,1.24871097696314785e-03,1.15235176200821545e-03,-5.90522679053196740e-07,5.32123092799943708e-07,1.39040113967810219e+00,9.36574886630799400e-04,9.39790529549563514e-04,1.09504638216902377e-03,3.64171232624990848e-01
2.37375000000000000e-09,-1.11429882750675625e-07,1.12447639887034597e-07,3.65090720214151843e-01,1.24769787527269035e-03,1.24928388392830459e-03,1.15257459944890020e-03,-5.91942179512625089e-07,5.33131187170523165e-07,1.39260115815424301e+00,9.37411861539541721e-04,9.40630127637435368e-04,1.09633773792115383e-03,3.65084152034764298e-01
2.37750000000000011e-09,-1.11818344366464761e-07,1.12796462698728577e-07,3.66004140248812004e-01,1.24826759361135057e-03,1.24985674325450670e-03,1.15279700823358992e-03,-5.93361564063023509e-07,5.34139236589942485e-07,1.39480117672682402e+00,9.38247337175016332e-04,9.41468218575289045e-04,1.09762777567015950e-03,3.65997562277917132e-01
2.38124999999999982e-09,-1.12207337389639178e-07,1.13145553975666963e-07,3.66918049551322401e-01,1.24883726559381521e-03,1.25042955380722854e-03,1.15301898895307526e-03,-5.94780827571494524e-07,5.35147248246997395e-07,1.39700119539569623e+00,9.39081316767488572e-04,9.42304805619572391e-04,1.09891649687523575e-03,3.66911461822536533e-01
2.38499999999999993e-09,-1.12596856760584996e-07,1.13494918980898291e-07,3.67832446595291906e-01,1.24940689009546695e-03,1.25100231445780894e-03,1.15324054218863214e-03,-5.96199947212120791e-07,5.36155222218734013e-07,1.39920121416070375e+00,9.39913803551064566e-04,9.43139892021523443e-04,1.10020390295063972e-03,3.67825849142258354e-01
2.38875000000000005e-09,-1.12986892907549544e-07,1.13844549798404154e-07,3.68747329859894557e-01,1.24997646597207177e-03,1.25157502407622126e-03,1.15346166853849122e-03,-5.97618895788394804e-07,5.37163142903515264e-07,1.40140123302176178e+00,9.40744800743817259e-04,9.43973481027398005e-04,1.10148999532159834e-03,3.68740722716281000e-01
2.39250000000000017e-09,-1.13377447255881960e-07,1.14194431718905157e-07,3.69662697829818587e-01,1.25054599209295297e-03,1.25214768152970301e-03,1.15368236860032025e-03,-5.99037654455078624e-07,5.38170985692877908e-07,1.40360125197885321e+00,9.41574311538102750e-04,9.44805575886935854e-04,1.10277477551398002e-03,3.69656081029343553e-01
2.39624999999999987e-09,-1.13768524282681826e-07,1.14544569498363398e-07,3.70578548995244894e-01,1.25111546735092415e-03,1.25272028570716943e-03,1.15390264296890777e-03,-6.00456228309978953e-07,5.39178691158902273e-07,1.40580127103179509e+00,9.42402339155990680e-04,9.45636179871964461e-04,1.10405824520341594e-03,3.70571922571607426e-01
2.39999999999999998e-09,-1.14160123768444152e-07,1.14894969105959816e-07,3.71494881851799408e-01,1.25168489064809703e-03,1.25329283549251136e-03,1.15412249223159949e-03,-6.01874608901615660e-07,5.40186203177399152e-07,1.40800129018031850e+00,9.43228886810010573e-04,9.46465296256389062e-04,1.10534040599744856e-03,3.71488245838673181e-01
2.40375000000000010e-09,-1.14552240456321745e-07,1.15245625842601259e-07,3.72411694900562806e-01,1.25225426089388869e-03,1.25386532978145762e-03,1.15434191699678333e-03,-6.03292832598199708e-07,5.41193432222677656e-07,1.41020130942432842e+00,9.44053957783628377e-04,9.47292928115637373e-04,1.10662125934964822e-03,3.72405049331659077e-01
2.40749999999999980e-09,-1.14944877987048557e-07,1.15596544506576061e-07,3.73328986648061745e-01,1.25282357700029815e-03,1.25443776747609934e-03,1.15456091788903757e-03,-6.04710902654062175e-07,5.42200372468959947e-07,1.41240132876371449e+00,9.44877555327115347e-04,9.48119078584365666e-04,1.10790080674352202e-03,3.73322331557112475e-01
2.41124999999999992e-09,-1.15338038811985797e-07,1.15947726402148095e-07,3.74246755606232551e-01,1.25339283788903125e-03,1.25501014749885707e-03,1.15477949554862089e-03,-6.06128800131753305e-07,5.43207047275025656e-07,1.41460134819833816e+00,9.45699682650482732e-04,9.48943750879205328e-04,1.10917904967125849e-03,3.74240091026982191e-01
2.41500000000000004e-09,-1.15731720843313715e-07,1.16299172439011264e-07,3.75165000292403350e-01,1.25396204249351084e-03,1.25558246877982929e-03,1.15499765062086345e-03,-6.07546514016749406e-07,5.44213457620810161e-07,1.41680136772805998e+00,9.46520342947430177e-04,9.49766948214767013e-04,1.11045598962400903e-03,3.75158326258604846e-01
2.41875000000000015e-09,-1.16125923876606417e-07,1.16650877423040951e-07,3.76083719229279800e-01,1.25453118975283945e-03,1.25615473025063101e-03,1.15521538374262992e-03,-6.08964036572956165e-07,5.45219607555710323e-07,1.41900138735279802e+00,9.47339539404992085e-04,9.50588673804975614e-04,1.11173162802269822e-03,3.76077035774711577e-01
2.42249999999999985e-09,-1.16520646606071769e-07,1.17002835913570048e-07,3.77002910944907232e-01,1.25510027861336034e-03,1.25672693085032250e-03,1.15543269554210402e-03,-6.10381357609241089e-07,5.46225499605930756e-07,1.42120140707243614e+00,9.48157275205953115e-04,9.51408930856945502e-04,1.11300596630420291e-03,3.76996218103375635e-01
2.42624999999999997e-09,-1.16915890637850045e-07,1.17355050655154710e-07,3.77922573972663434e-01,1.25566930802515904e-03,1.25729906952512060e-03,1.15564958666487068e-03,-6.11798471492629993e-07,5.47231133080847804e-07,1.42340142688683247e+00,9.48973553519798447e-04,9.52227722570586415e-04,1.11427900596052128e-03,3.77915871777986134e-01
2.43000000000000009e-09,-1.17311665140698725e-07,1.17707537038841833e-07,3.78842706851235778e-01,1.25623827693381119e-03,1.25787114521026182e-03,1.15586605775604297e-03,-6.13215408823119831e-07,5.48236516675990319e-07,1.42560144679583978e+00,9.49788377492786834e-04,9.53045052152399282e-04,1.11555074845007545e-03,3.78835995337248155e-01
2.43374999999999979e-09,-1.17707975693583585e-07,1.18060298137037605e-07,3.79763308124609400e-01,1.25680718429433107e-03,1.25844315684737356e-03,1.15608210946569747e-03,-6.14632190524657920e-07,5.49241687297947537e-07,1.42780146679933484e+00,9.50601750295321994e-04,9.53860922814363829e-04,1.11682119526663602e-03,3.79756587325162265e-01
2.43749999999999991e-09,-1.18104833780631746e-07,1.18413345405607680e-07,3.80684376342063424e-01,1.25737602906012252e-03,1.25901510339357110e-03,1.15629774244754000e-03,-6.16048778737754502e-07,5.50246672482227442e-07,1.43000148689708029e+00,9.51413675094669206e-04,9.54675337717812039e-04,1.11809034797237506e-03,3.80677646290958904e-01
2.44125000000000002e-09,-1.18502240179786642e-07,1.18766676522995686e-07,3.81605910058107234e-01,1.25794481020829411e-03,1.25958698381261193e-03,1.15651295734388966e-03,-6.17465157660875584e-07,5.51251488593102966e-07,1.43220150708899419e+00,9.52224155045536193e-04,9.55488300036626292e-04,1.11935820800499125e-03,3.81599170789183928e-01
2.44500000000000014e-09,-1.18900193899501131e-07,1.19120293787683970e-07,3.82527907832500180e-01,1.25851352672519574e-03,1.26015879708319734e-03,1.15672775480638555e-03,-6.18881260209481741e-07,5.52256165975980487e-07,1.43440152737515469e+00,9.53033193303578488e-04,9.56299812954969483e-04,1.12062477668354037e-03,3.82521159379685893e-01
2.44874999999999984e-09,-1.19298691335765428e-07,1.19474203448952023e-07,3.83450368230205840e-01,1.25908217760249490e-03,1.26073054219033804e-03,1.15694213551601334e-03,-6.20297061037026611e-07,5.53260722561169801e-07,1.43660154775545279e+00,9.53840793009179877e-04,9.57109879640132368e-04,1.12189005549014151e-03,3.83443610627449472e-01
2.45249999999999996e-09,-1.19697732483701683e-07,1.19828407483573148e-07,3.84373289821385800e-01,1.25965076184105483e-03,1.26130221813125390e-03,1.15715610015886070e-03,-6.21712541462885062e-07,5.54265186044038997e-07,1.43880156822976590e+00,9.54646957308279381e-04,9.57918503252433093e-04,1.12315404591836103e-03,3.84366523102644631e-01
2.45625000000000007e-09,-1.20097316585962068e-07,1.20182907762933658e-07,3.85296671181374673e-01,1.26021927844926595e-03,1.26187382391024553e-03,1.15736964942564596e-03,-6.23127688201097559e-07,5.55269561802489196e-07,1.44100158879795148e+00,9.55451689336396731e-04,9.58725686948304562e-04,1.12441674946386102e-03,3.85289895380615088e-01
2.46000000000000019e-09,-1.20497442474055951e-07,1.20537705909688642e-07,3.86220510890665891e-01,1.26078772644216876e-03,1.26244535853838546e-03,1.15758278401047491e-03,-6.24542487572394347e-07,5.56273853056965498e-07,1.44320160945988385e+00,9.56254992223524720e-04,9.59531433877904862e-04,1.12567816762877823e-03,3.86213726041859440e-01
2.46374999999999989e-09,-1.20898106779513717e-07,1.20892797478876007e-07,3.87144807534913260e-01,1.26135610483418229e-03,1.26301682103033448e-03,1.15779550458563552e-03,-6.25956918480170502e-07,5.57278033257594137e-07,1.44540163021542067e+00,9.57056869090068974e-04,9.60335747164743582e-04,1.12693830196470787e-03,3.87138013672012393e-01
2.46750000000000001e-09,-1.21299308356710600e-07,1.21248179220582800e-07,3.88069559704902090e-01,1.26192441263826166e-03,1.26358821040403703e-03,1.15800781180724790e-03,-6.27370984150376203e-07,5.58282105863187566e-07,1.44760165106454020e+00,9.57857323044997437e-04,9.61138629933032873e-04,1.12819715392184082e-03,3.88062756861875802e-01
2.47125000000000013e-09,-1.21701042880466191e-07,1.21603844824996324e-07,3.88994765996498792e-01,1.26249264888164681e-03,1.26415952567129571e-03,1.15821970636221247e-03,-6.28784698573153729e-07,5.59286088882631013e-07,1.44980167200721044e+00,9.58656357194865921e-04,9.61940085303593611e-04,1.12945472492989021e-03,3.88987954207342501e-01
2.47499999999999983e-09,-1.22103310698723200e-07,1.21959793920336031e-07,3.89920425010642724e-01,1.26306081260571176e-03,1.26473076586384276e-03,1.15843118894974118e-03,-6.30198050189899002e-07,5.60289988700729240e-07,1.45200169304326732e+00,9.59453974649062931e-04,9.62740116414264636e-04,1.13071101653135762e-03,3.89913604309332862e-01
2.47874999999999994e-09,-1.22506112642083407e-07,1.22316030030966252e-07,3.90846535353344571e-01,1.26362890285625020e-03,1.26530193001907101e-03,1.15864226025661952e-03,-6.31611038319556556e-07,5.61293808541544177e-07,1.45420171417249500e+00,9.60250178510470135e-04,9.63538726412840364e-04,1.13196603032722281e-03,3.90839705773804891e-01
2.48250000000000006e-09,-1.22909435405137919e-07,1.22672552769857306e-07,3.91773095635638391e-01,1.26419691867719073e-03,1.26587301718346715e-03,1.15885292096534883e-03,-6.33023677631652729e-07,5.62297552394636157e-07,1.45640173539470674e+00,9.61044971897430681e-04,9.64335918420673364e-04,1.13321976787802265e-03,3.91766257211768498e-01
2.48625000000000018e-09,-1.23313266496602922e-07,1.23029348750942646e-07,3.92700104473583167e-01,1.26476485910893030e-03,1.26644402639275260e-03,1.15906317174599492e-03,-6.34436000181279507e-07,5.63301248275373424e-07,1.45860175670969427e+00,9.61838357892047611e-04,9.65131695580168591e-04,1.13447223079458362e-03,3.92693257239249194e-01
2.48999999999999988e-09,-1.23717600113911824e-07,1.23386415973696468e-07,3.93627560488236994e-01,1.26533272321200296e-03,1.26701495669233875e-03,1.15927301328542370e-03,-6.35848024754516248e-07,5.64304897802695980e-07,1.46080177811729817e+00,9.62630339580349535e-04,9.65926061002383030e-04,1.13572342058479545e-03,3.93620704477296690e-01
2.49375000000000000e-09,-1.24122428697326275e-07,1.23743750345332652e-07,3.94555462305632432e-01,1.26590051005111216e-03,1.26758580713496206e-03,1.15948244627849363e-03,-6.37259737972917689e-07,5.65308480064890946e-07,1.46300179961735166e+00,9.63420920053371693e-04,9.66719017787824597e-04,1.13697333876062231e-03,3.94548597551941493e-01
2.49750000000000011e-09,-1.24527743065271706e-07,1.24101345988189626e-07,3.95483808556793770e-01,1.26646821869428488e-03,1.26815657678101823e-03,1.15969147140513955e-03,-6.38671128132124649e-07,5.66311937739344545e-07,1.46520182120960318e+00,9.64210102402510258e-04,9.67510569033574802e-04,1.13822198702706275e-03,3.95476935094142112e-01
2.50124999999999982e-09,-1.24933530665795996e-07,1.24459211427406672e-07,3.96412597877707829e-01,1.26703584822097232e-03,1.26872726470258395e-03,1.15990008934319924e-03,-6.40082160948196949e-07,5.67315276576003570e-07,1.46740184289407427e+00,9.64997889687909489e-04,9.68300717809423184e-04,1.13946936654608488e-03,3.96405715739924280e-01
2.50499999999999993e-09,-1.25339780618874861e-07,1.24817352996366872e-07,3.97341828909253736e-01,1.26760339771530813e-03,1.26929786998230751e-03,1.16010830080333230e-03,-6.41492817612546921e-07,5.68318496894267627e-07,1.46960186467064124e+00,9.65784284973300621e-04,9.69089467202722274e-04,1.14071547871538075e-03,3.97334938130178561e-01
2.50875000000000005e-09,-1.25746485496136928e-07,1.25175768900227742e-07,3.98271500297207759e-01,1.26817086627322166e-03,1.26986839170206115e-03,1.16031610648819673e-03,-6.42903145282727415e-07,5.69321637041126653e-07,1.47180188653914890e+00,9.66569291343469554e-04,9.69876820287568389e-04,1.14196032502690754e-03,3.98264600910694433e-01
2.51250000000000016e-09,-1.26153635996591866e-07,1.25534463956278257e-07,3.99201610692261899e-01,1.26873825299369386e-03,1.27043882895743268e-03,1.16052350712188127e-03,-6.44313161155046108e-07,5.70324736255306969e-07,1.47400190849947799e+00,9.67352911873221454e-04,9.70662780118322003e-04,1.14320390697690414e-03,3.99194702732165618e-01
2.51624999999999987e-09,-1.26561217881574538e-07,1.25893447592884505e-07,4.00132158749989864e-01,1.26930555697101800e-03,1.27100918084174937e-03,1.16073050343283948e-03,-6.45722847879237026e-07,5.71327832742263963e-07,1.47620193055149840e+00,9.68135149621003805e-04,9.71447349715846842e-04,1.14444622604446085e-03,4.00125242250155555e-01
2.51999999999999998e-09,-1.26969236048888637e-07,1.26252716577428251e-07,4.01063143130797217e-01,1.26987277731735741e-03,1.27157944645913822e-03,1.16093709612144773e-03,-6.47132195128148376e-07,5.72330907033018613e-07,1.47840195269512442e+00,9.68916007610356469e-04,9.72230532132603207e-04,1.14568728401552144e-03,4.01056218125104780e-01
2.52375000000000010e-09,-1.27377688706926072e-07,1.26612273029381594e-07,4.01994562499928376e-01,1.27043991315217014e-03,1.27214962492725467e-03,1.16114328587252607e-03,-6.48541195948539208e-07,5.73333926617410058e-07,1.48060197493041312e+00,9.69695488854504964e-04,9.73012330420897444e-04,1.14692708281616436e-03,4.01987629022344861e-01
2.52749999999999980e-09,-1.27786573382862668e-07,1.26972120052474001e-07,4.02926415527459614e-01,1.27100696360564610e-03,1.27271971536872027e-03,1.16134907338698626e-03,-6.49949826114480974e-07,5.74336907701011558e-07,1.48280199725719886e+00,9.70473596378768869e-04,9.73792747636833969e-04,1.14816562395553376e-03,4.02919473611936696e-01
2.53124999999999992e-09,-1.28195880508928292e-07,1.27332258518352348e-07,4.03858700888297339e-01,1.27157392780358506e-03,1.27328971690377521e-03,1.16155445937237019e-03,-6.51358033355330893e-07,5.75339851914078203e-07,1.48500201967519541e+00,9.71250333162979301e-04,9.74571786797646705e-04,1.14940290895367957e-03,4.03851750568688272e-01
2.53500000000000003e-09,-1.28605598801729077e-07,1.27692692929831078e-07,4.04791417262116260e-01,1.27214080487264070e-03,1.27385962866677208e-03,1.16175944451469529e-03,-6.52765791472119879e-07,5.76342763255247557e-07,1.48720204218421426e+00,9.72025702219849169e-04,9.75349450936037455e-04,1.15063893935865883e-03,4.04784458572229222e-01
2.53875000000000015e-09,-1.29015729983263101e-07,1.28053416548947748e-07,4.05724563333322852e-01,1.27270759394454598e-03,1.27442944978472432e-03,1.16196402951638687e-03,-6.54173073992377942e-07,5.77345611120319686e-07,1.48940206478407977e+00,9.72799706541590745e-04,9.76125743065775465e-04,1.15187371669428973e-03,4.05717596306961581e-01
2.54249999999999985e-09,-1.29426282885624431e-07,1.28414426993035948e-07,4.06658137791102714e-01,1.27327429415349694e-03,1.27499917937868874e-03,1.16216821509452888e-03,-6.55579863907778157e-07,5.78348382924552974e-07,1.49160208747461698e+00,9.73572349069012325e-04,9.76900666226280688e-04,1.15310724248538117e-03,4.06651162462031646e-01
2.54624999999999997e-09,-1.29837268668699153e-07,1.28775711928178728e-07,4.07592139329369441e-01,1.27384090464574985e-03,1.27556881657448266e-03,1.16237200194767797e-03,-6.56986153117844177e-07,5.79351062711290886e-07,1.49380211025558518e+00,9.74343632760380786e-04,9.77674223414060680e-04,1.15433951829829024e-03,4.07585155731286342e-01
2.55000000000000009e-09,-1.30248682974326993e-07,1.29137252375951538e-07,4.08526566646741196e-01,1.27440742456207600e-03,1.27613836050853818e-03,1.16257539076885987e-03,-6.58391926895910196e-07,5.80353637181916674e-07,1.49600213312686425e+00,9.75113560569543258e-04,9.78446417631807178e-04,1.15557054558579385e-03,4.08519574813332287e-01
2.55374999999999979e-09,-1.30660519483711198e-07,1.29499027235955592e-07,4.09461418446531944e-01,1.27497385302128424e-03,1.27670781032699233e-03,1.16277838218919669e-03,-6.59797206940063047e-07,5.81356126623920169e-07,1.49820215608847396e+00,9.75882135437703985e-04,9.79217251918308371e-04,1.15680032576154224e-03,4.09454418411530408e-01
