time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
1.125e-10,-8.276315965856574e-11,7.59440396591303e-11,0.0011783552506825603,0.000987833467675829,0.0009877389110033114,0.0009872821750005465,-5.0626203745552446e-09,4.6230969166314495e-09,0.06797922448718256,5.2033114842748356e-05,5.1587767373146945e-05,5.1395937336887576e-05,0.0011793513171939208
1.1625e-10,-8.846199180112033e-11,8.114639407510334e-11,0.0012558308565734548,0.0009878912089913976,0.0009877965384570684,0.0009873391572284705,-5.229148465216626e-09,4.7732968496597925e-09,0.07017925320107793,5.385468119330093e-05,5.339547075493327e-05,5.321386390929616e-05,0.0012568266762185557
1.2e-10,-9.434652635202911e-11,8.651621003675877e-11,0.0013357616164260352,0.0009879509348586896,0.0009878561468792514,0.0009873980984886049,-5.395304735917703e-09,4.9230325343056145e-09,0.0723792819193272,5.5675593586280096e-05,5.520255251904368e-05,5.503133342174253e-05,0.0013367571818090652
1.2375e-10,-1.0041625031690488e-10,9.205287966105521e-11,0.0014181463813360915,0.0009880126436409618,0.0009879177346346832,0.0009874589956121239,-5.561077294748256e-09,5.0722925586092566e-09,0.07457931064211148,5.749581989393753e-05,5.7008981565560386e-05,5.68483244955442e-05,0.0014191416850670808
1.275e-10,-1.0667063427696809e-10,9.775578088900792e-11,0.0015029839678763002,0.0009880763336512252,0.0009879813000379808,0.0009875218453339887,-5.726455933757703e-09,5.221065470950294e-09,0.07677933936961684,5.931532915855814e-05,5.881472793604897e-05,5.8664816454723226e-05,0.001503979002571572
1.3124999999999999e-10,-1.1310913728119146e-10,1.0362427632218309e-10,0.0015902731581805994,0.000988142003152392,0.0009880468413537105,0.00098758664429337,-5.891433254876762e-09,5.369340330090347e-09,0.0789793681020327,6.113409142798634e-05,6.06197626582027e-05,6.048078922358575e-05,0.0015912679164632334
1.35e-10,-1.1973120734679065e-10,1.096577133123775e-10,0.0016800127000309618,0.0009882096503574377,0.0009881143567965454,0.0009876533890340923,-6.056001554640024e-09,5.517104952694205e-09,0.08117939683955451,6.295207762425746e-05,6.242405761527957e-05,6.229622325083045e-05,0.0016810071745313293
1.3875e-10,-1.2653628004510268e-10,1.1585542367648604e-10,0.0017722013069464662,0.0009882792734295562,0.000988183844531433,0.0009877220760050813,-6.220150069195045e-09,5.664349317774011e-09,0.08337942558238663,6.476925943453205e-05,6.422758543066767e-05,6.411109944893758e-05,0.0017731954903029714
1.425e-10,-1.3352377501763356e-10,1.2221672695059053e-10,0.0018668376582747527,0.0009883508704823312,0.0009882553026737476,0.0009877927015608376,-6.383867141924629e-09,5.811063614372e-09,0.08557945433073763,6.658560922096381e-05,6.603031937811681e-05,6.592539913622429e-05,0.0018678315431343822
1.4624999999999999e-10,-1.4069309570807828e-10,1.287409278787188e-10,0.0019639203992857577,0.000988424439579899,0.0009883287292894683,0.000987865261961912,-6.54713996290721e-09,5.957235962765713e-09,0.08777948308482261,6.840109994188415e-05,6.783223330941341e-05,6.77391039923542e-05,0.0019649139783047354
