time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
2.787878787878787839e-09,3.614455579781167438e-06,-2.671694090727588732e-06,5.466134167407524780e-01,1.243465724148590940e-03,1.242337374018793843e-03,1.122979714451025329e-03,3.371502034495048937e-07,5.122492902172298741e-07,1.834385532123770313e+00,7.614720385707634620e-04,7.611030666600910287e-04,9.545858077757809253e-04
2.909090909090909122e-09,3.600677437500261357e-06,-2.679854755252658753e-06,5.786566416205898289e-01,1.256464664567656870e-03,1.255331147554600638e-03,1.126590395847487181e-03,2.157565025301428449e-07,4.448710602426810469e-07,1.905498238196148053e+00,7.777048318510083706e-04,7.771744246534073239e-04,9.820525467158294775e-04
3.030303030303029990e-09,3.576261086997855255e-06,-2.716109974804292616e-06,6.109592957234990518e-01,1.269242058725502179e-03,1.268128409057690158e-03,1.129805978164106790e-03,6.181820531046754614e-08,2.287882373258876776e-07,1.976610585445299995e+00,7.925163951696505282e-04,7.920026775449726933e-04,1.007879584829120398e-03
3.151515151515151273e-09,3.574374037642876173e-06,-2.759502786478049039e-06,6.434998407032639367e-01,1.281806959161217166e-03,1.280755333908593007e-03,1.132809786641128351e-03,4.679091014975472661e-08,-7.848405214888561479e-09,2.047722828675439199e+00,8.060499143575331361e-04,8.058394091270638590e-04,1.032834926157255757e-03
3.272727272727272555e-09,3.584321093282311315e-06,-2.792916326532067675e-06,6.762588922928001178e-01,1.294257819840091044e-03,1.293248776395926163e-03,1.135693888572302445e-03,8.694545793190659364e-08,-1.870450419897848473e-07,2.118835056821961160e+00,8.189681898127191412e-04,8.190263949353151791e-04,1.057300477381525970e-03
3.393939393939393837e-09,3.601545359382280851e-06,-2.800193466995824140e-06,7.092190099233780520e-01,1.306637850887389660e-03,1.305600429423378660e-03,1.138468728064864809e-03,1.551449940514813476e-07,-2.340896843976951430e-07,2.189947331183004664e+00,8.315401135415124252e-04,8.314946520999403484e-04,1.081251817353342430e-03
3.515151515151515120e-09,3.616986856636647772e-06,-2.794451086431076144e-06,7.423644259855890493e-01,1.318963666836320573e-03,1.317891851340702433e-03,1.141204545245639483e-03,2.125782127004044907e-07,-2.183524038959377459e-07,2.261059485689580040e+00,8.438864888051963694e-04,8.436988774632621368e-04,1.105020445804838318e-03
3.636363636363635989e-09,3.613729458107406894e-06,-2.779058434190608236e-06,7.756809807702516046e-01,1.331192520234052590e-03,1.330107688566238826e-03,1.143839999226521197e-03,2.053239225765734489e-07,-1.773392802663894074e-07,2.332171775282283921e+00,8.558498056363368287e-04,8.556207036529960832e-04,1.128309604981436341e-03
3.757575757575757684e-09,3.611976168993392032e-06,-2.743575391902514946e-06,8.091558169572520276e-01,1.343329701414584061e-03,1.342233448096547899e-03,1.146376926039114480e-03,2.006641858689056529e-07,-6.906342976156338767e-08,2.403284182608123043e+00,8.674670716038915654e-04,8.672224009034164337e-04,1.151124641375029806e-03
3.878787878787878553e-09,3.600054508601740035e-06,-2.698162687556584206e-06,8.427772917639675399e-01,1.355367288499384438e-03,1.354267191164204619e-03,1.148813254238088746e-03,1.531256353358933408e-07,8.191070950902036134e-08,2.474396764952422334e+00,8.787430448714113546e-04,8.784919303925643307e-04,1.173414022322460080e-03
3.999999999999999422e-09,3.613748928174472110e-06,-2.653585523248885801e-06,8.765347873423329217e-01,1.367304807337310028e-03,1.366176362509178904e-03,1.151150798326675689e-03,1.759672598003482663e-07,2.296613683244741212e-07,2.545509334332617168e+00,8.896680440930467395e-04,8.893569471014417614e-04,1.195223430965643195e-03
4.121212121212121118e-09,3.657826895156537397e-06,-2.619561123253164579e-06,9.104186859752685379e-01,1.379112191201894207e-03,1.377970754802139257e-03,1.153378620890726678e-03,2.820235267264152032e-07,3.380668790408858735e-07,2.616621934581415232e+00,9.001930558978974003e-04,8.998668905026097281e-04,1.216516285233383956e-03
4.242424242424241987e-09,3.694948781087279341e-06,-2.607493311544322011e-06,9.444202293092772704e-01,1.390813559149431042e-03,1.389611283310419844e-03,1.155371393034409144e-03,3.605410000731667049e-07,3.648460212801202081e-07,2.687734601618943842e+00,9.104307781345237710e-04,9.099212895836472680e-04,1.236655116601085907e-03
4.363636363636363683e-09,3.676992600950755051e-06,-2.618417414841114787e-06,9.785313738642269499e-01,1.402315716351879840e-03,1.401038397335598951e-03,1.157174836618224964e-03,2.899866204623611259e-07,3.301387899175778924e-07,2.758847106957522666e+00,9.201441081980002738e-04,9.193796160445654115e-04,1.255784199821659676e-03
4.484848484848484551e-09,3.658069495571391228e-06,-2.643752062405187483e-06,1.012744806082670257e+00,1.413528444891469201e-03,1.412298931154698251e-03,1.158832627063864206e-03,2.443289591254962961e-07,2.607508621158226556e-07,2.829959504263002135e+00,9.290981363109533566e-04,9.284040682507819489e-04,1.274103943744513915e-03
4.606060606060605420e-09,3.600453917691924378e-06,-2.697187749227206120e-06,1.047053833545035229e+00,1.424511719824035497e-03,1.423352533357271016e-03,1.160401673141422951e-03,1.065593149140039470e-07,1.324299724274539390e-07,2.901071779868118927e+00,9.374568549837921294e-04,9.368983839659923837e-04,1.291956988111491855e-03
4.727272727272727116e-09,3.555005900545128876e-06,-2.739413296398360372e-06,1.081452343746437172e+00,1.435306584520440205e-03,1.434225876940253179e-03,1.161922371805635887e-03,-5.587862520954195677e-09,3.514189650509023098e-08,2.972184091409340034e+00,9.453583500410446365e-04,9.449604065816269872e-04,1.309586642332757683e-03
4.848484848484847985e-09,3.557943186164038960e-06,-2.777442688625776643e-06,1.115934685263602510e+00,1.445933187139851082e-03,1.444875467665076782e-03,1.163378705373937063e-03,2.833442544851012213e-10,-5.186906498008740386e-08,3.043296405418702388e+00,9.528734104949489279e-04,9.525386869299613249e-04,1.326860309881489411e-03
4.969696969696969681e-09,3.596157951920914563e-06,-2.799363164230045292e-06,1.150495663057542473e+00,1.456458145236548801e-03,1.455409570821116242e-03,1.164787192720287239e-03,8.886252874917676756e-08,-9.771346428060237341e-08,3.114408679397760782e+00,9.601597224572477060e-04,9.598548373825145684e-04,1.343850874282667045e-03
5.090909090909090549e-09,3.625314185660589921e-06,-2.791998184076687283e-06,1.185130508533182914e+00,1.466895654635177624e-03,1.465819581932389796e-03,1.166152548128248896e-03,1.537714458364127759e-07,-8.430987780432305366e-08,3.185520955717096037e+00,9.672597869988851585e-04,9.669018071388942861e-04,1.360569195070310874e-03
5.212121212121211418e-09,3.628890831933906746e-06,-2.775933224677105642e-06,1.219834812101297850e+00,1.477264866238684566e-03,1.476173407849979378e-03,1.167496237226060265e-03,1.662795109220505261e-07,-5.792170540954245101e-08,3.256633236243931862e+00,9.742237377903703284e-04,9.738386499757442161e-04,1.377132226394940867e-03
5.333333333333333114e-09,3.627498140347582537e-06,-2.745977386374146705e-06,1.254604511647082310e+00,1.487544094487573514e-03,1.486437727593509705e-03,1.168802403046841163e-03,1.675088994036917723e-07,-1.193349765066366590e-08,3.327745594940539231e+00,9.810121985684970049e-04,9.806072229623485469e-04,1.393445468642844466e-03
5.454545454545453983e-09,3.614371307320509923e-06,-2.703520971051384810e-06,1.289435831513032760e+00,1.497704732223384015e-03,1.496606491836526519e-03,1.170054089905261203e-03,1.500257109638163209e-07,6.150820636729380488e-08,3.398857971365306874e+00,9.875772397726554058e-04,9.872032951913349997e-04,1.409375785993600538e-03
5.575757575757575679e-09,3.608845477590468127e-06,-2.684630437981863515e-06,1.324325285747779857e+00,1.507798950834617069e-03,1.506686651430628326e-03,1.171274193233020440e-03,1.426824991275323944e-07,1.007939570951755720e-07,3.469970385070460406e+00,9.940346280954859715e-04,9.936400411711815428e-04,1.425094653079197289e-03
