time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
9.212121212121210840e-09,2.951415759161736616e-06,-2.738755514541975858e-06,2.387600038942883529e+00,1.178771348753986309e-03,1.177138076300177430e-03,1.042284797455317802e-03,-1.170988190963268345e-06,-9.725608671668957356e-08,5.604248773384199467e+00,3.196685689026877654e-04,3.173545612042830751e-04,6.006087962575110779e-04
9.333333333333332536e-09,2.934088347301332153e-06,-2.736260571434583990e-06,2.423380405718421393e+00,1.180805025864272795e-03,1.179149261244134177e-03,1.042414849348011815e-03,-1.195664690777263128e-06,-1.002339029813487993e-07,5.675369976187170984e+00,3.209820241624776666e-04,3.186089812775868115e-04,6.047881075413603490e-04
9.454545454545454232e-09,2.915474027980681396e-06,-2.734726230697032214e-06,2.459174282998419780e+00,1.182835477553979787e-03,1.181158635162271381e-03,1.042545115735142363e-03,-1.224353629006001980e-06,-1.054320056294872840e-07,5.746491167463626759e+00,3.222898019305504651e-04,3.198598186293496667e-04,6.089807459669388957e-04
9.575757575757575928e-09,2.899656371728914816e-06,-2.734168029690068823e-06,2.494981189827336188e+00,1.184860270748137922e-03,1.183166964549972047e-03,1.042675943056805676e-03,-1.248338736096851323e-06,-1.140724597482114676e-07,5.817612338886079648e+00,3.235880053680980349e-04,3.211096420234498439e-04,6.131884157464473307e-04
9.696969696969695969e-09,2.886368203720005504e-06,-2.731846302606162903e-06,2.530800667631440515e+00,1.186881053558628543e-03,1.185173338290024768e-03,1.042807099274819030e-03,-1.268125245409739665e-06,-1.190129942382099373e-07,5.888733494495366649e+00,3.248802400948855350e-04,3.223560983498606871e-04,6.174141384847223277e-04
9.818181818181817665e-09,2.873478859872109956e-06,-2.729209272033593139e-06,2.566632279712358855e+00,1.188901043276128361e-03,1.187179603020362389e-03,1.042938879959706645e-03,-1.286494439752304313e-06,-1.226926512896776481e-07,5.959854665153512698e+00,3.261730947841078314e-04,3.236061877237311909e-04,6.216579331971472302e-04
9.939393939393939361e-09,2.862985638151066786e-06,-2.726196380406649762e-06,2.602475607704573868e+00,1.190916686375206651e-03,1.189183454945807496e-03,1.043070276339942573e-03,-1.299170207020321395e-06,-1.229807955871458802e-07,6.030975839542412231e+00,3.274591198891323098e-04,3.248549535072133075e-04,6.259113595770060198e-04
1.006060606060605940e-08,2.853496053318432564e-06,-2.721329229792380409e-06,2.638330250319889991e+00,1.192923807010186571e-03,1.191179089892719679e-03,1.043198155543891307e-03,-1.311177243335757054e-06,-1.219098595612079285e-07,6.102096963948326014e+00,3.287331549881618428e-04,3.260935765765973489e-04,6.301275662958926316e-04
1.018181818181818110e-08,2.849677385245398178e-06,-2.716616577848013236e-06,2.674195825560470308e+00,1.194917742691874564e-03,1.193159236921621704e-03,1.043320826139009991e-03,-1.312226911626508141e-06,-1.222478959679028152e-07,6.173218003287589184e+00,3.299900484443322622e-04,3.273072511067585846e-04,6.342853859122763675e-04
1.030303030303030279e-08,2.843882083184257947e-06,-2.712205109135088895e-06,2.710071967418690608e+00,1.196900949359933856e-03,1.195121502582719092e-03,1.043436181197594488e-03,-1.317787131501735432e-06,-1.216284799976214816e-07,6.244338932258354902e+00,3.312360506534678547e-04,3.284977549453691544e-04,6.383208723933465282e-04
